CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas
;;2025;1;1050158.51
;;2025;1;178.29
;;2025;1;105271.99
;;2025;1;84144.25
;;2025;1;4086235.43
;;2025;1;5884.43
;;2025;1;63203.45
;;2025;1;21.1
;;2025;1;5306.43
;;2025;1;442987.4
;;2025;1;63113.89
;;2025;1;332790.82
;;2025;1;2054615.23
;;2025;1;2756.82
;;2025;1;22365.26
;;2025;1;362409.1
;;2025;1;34891.0
;;2025;1;25248.5
;;2025;1;263717.41
;;2025;1;14390.0
;;2025;1;39283.42
;;2025;1;115406.7
;;2025;1;262283.82
;;2025;1;16293.77
;;2025;1;393054.51
;;2025;1;12382478.13
;;2025;1;79449.69
;;2025;1;3865081.59
;;2025;1;1649937.95
;;2025;1;286634.33
;;2025;1;29476.28
;;2025;1;4254.8
;;2025;1;198811.86
;;2025;1;3231.22
;;2025;1;1509866.4
;;2025;1;15556.22
;;2025;1;73.2
;;2025;1;1117.18
;;2025;1;906.1
;;2025;1;332.7
;;2025;1;480.24
